ID_of_Image,ID,Label
7071604,504834,4
7071604,504835,4
7038162,504325,1
7071722,504839,4
7038251,504329,1
7071798,504841,4
7071864,504843,2
7038267,504332,1
7072082,504847,4
7038293,504336,1
7072086,504849,2
7038325,504344,3
7072506,504856,2
7038327,504346,1
7072891,504858,4
7038335,504348,4
7038335,504349,4
7038335,504350,4
7072928,504860,2
7038343,504353,3
7073191,504865,2
7038349,504356,3
7038407,504359,4
7038407,504360,4
7038425,504363,3
7074781,504876,2
7074812,504878,4
7038437,504367,4
7074812,504879,4
7038439,504370,3
7038479,504373,3
7038482,504375,1
7041047,504401,3
7041084,504403,2
7041117,504408,3
7044212,504418,3
7044707,504426,3
7044755,504430,3
7048595,504462,2
7048595,504463,1
7048678,504469,3
7048683,504471,1
7048713,504474,1
7048995,504481,1
7049171,504487,1
7049171,504488,4
7049205,504490,2
7049780,504494,2
7050001,504496,1
7050001,504497,1
7030895,503995,2
7030895,503996,2
7050345,504013,2
7050517,504016,2
7054203,504021,1
7054613,504023,1
7055080,504027,1
7056347,504542,3
7056192,504034,4
7057523,504037,2
7058575,504570,2
7058583,504572,3
7072476,504071,2
7072864,504074,2
7059041,504588,3
7073954,504082,2
7059143,504596,2
7074046,504085,3
7025381,504094,1
7025392,504097,4
7060061,504614,3
7060269,504618,3
7025566,504110,4
7060597,504625,2
7025641,504116,1
7060866,504633,1
7025746,504125,4
7061806,504645,1
7026376,504134,3
7026385,504136,1
7062011,504648,1
7062166,504651,1
7026440,504141,2
7026440,504142,1
7026458,504145,1
7026503,504148,2
7063020,504660,1
7026519,504151,3
7026519,504152,2
7026542,504154,1
7026542,504155,2
7064776,504677,4
7065085,504684,2
7065085,504685,2
7066180,504695,3
7029059,504189,3
7029096,504191,3
7030703,504200,2
7030892,504204,1
7068630,504719,1
7068641,504721,1
7031100,504211,1
7068654,504723,3
7068667,504725,3
7068667,504726,2
7071297,504830,2
7068764,504728,2
7068852,504730,1
7068852,504731,1
7068864,504733,1
7068864,504734,1
7068889,504736,2
7069567,504740,2
7069823,504746,2
7069823,504747,2
7069828,504749,2
7034376,504238,1
7034548,504240,1
7069916,504753,3
7034560,504242,1
7034568,504244,1
7070036,504757,1
7070036,504758,1
7034714,504247,1
7070036,504759,1
7070036,504760,2
7070036,504761,2
7070121,504765,2
7070122,504767,1
7070191,504769,2
7070285,504772,1
7035006,504261,3
7035006,504262,2
7070285,504773,2
7070287,504775,1
7035038,504265,3
7070386,504778,1
7070386,504779,2
7070717,504785,4
7070717,504786,4
7035822,504279,2
7070810,504791,1
7070810,504792,2
7070810,504793,2
7070814,504795,2
7036076,504285,2
7070891,504797,2
7070917,504800,3
7070917,504801,1
7071007,504804,1
7071007,504805,2
7036406,504294,2
7071007,504806,4
7071010,504808,1
7036477,504297,2
7071010,504809,1
7071020,504812,3
7036543,504301,1
7071030,504815,2
7071030,504816,2
7071030,504817,2
7071295,504826,2
7071295,504827,2
7071295,504828,1
7037733,504318,1
7038439,504369,3
7062329,504654,4
7058894,504584,4
7038125,504321,1
7026376,504133,2
7025705,504121,1
7068889,504735,3
7068757,504059,2
7058130,504554,1
7041108,504405,3
7069823,504745,2
7029059,504188,1
7069846,504750,4
7058710,504577,3
7071030,504814,2
7038343,504352,1
7069388,504737,4
7070871,504064,2
7048290,504458,3
7072864,504073,1
7043912,504414,1
7049205,504489,3
7070285,504771,3
7063579,504666,2
7062766,504658,2
7025866,504128,2
7036533,504299,4
7065787,504692,4
7037246,504305,2
7058780,504580,1
7038162,504324,1
